item_name,is_expense,quantity,sum_of_one
Туалетные принадлежности,TRUE,1200,50
Билеты на кино, TRUE, 450, 250
Продажа фотографий, FALSE, 350, 18
Мягкие игрушки, TRUE, 850, 100
Попкорн,TRUE,2200,12
Продажа билетов на аттракционы,FALSE,20000,60
Выставка ретро-техники, TRUE, 8, 900000
Продажа украшений, FALSE, 500, 30
Аттракцион для малышей, TRUE, 20, 20000
Карусель,TRUE,10,500000
Сухие завтраки, TRUE, 300, 90
Продажа мороженного, FALSE, 3500, 18
Фейерверки,TRUE,15,30000
Батуты,TRUE,550,20
Автоматы с мороженным, TRUE, 10, 22000
Автографы знаменитостей, TRUE, 8, 5000
Коврики для пикника, TRUE, 100, 250
